publisher	Nombre	Votos	Promedio
publisher	FoxMind	5	8.2
publisher	FoxMind	5	8.2
publisher	FoxMind	5	8.2
publisher	FoxMind	6	8.333333333333334
publisher	FoxMind Israel	4	6.25
publisher	FoxMind Israel	4	6.25
publisher	FoxMind Israel	5	6.4
publisher	FoxMind Israel	6	6.666666666666667
publisher	Friendly Games, Inc.	3	7.666666666666667
publisher	Fundex	4	6
publisher	Fundex	5	6
publisher	Fundex	8	6.125
publisher	Fundex	9	6.333333333333333
publisher	Funforge	4	8
publisher	Funforge	4	8
publisher	G3	24	6.875
publisher	G3	24	6.875
publisher	G3	26	6.846153846153846
publisher	G3	28	6.821428571428571
publisher	G3	3	7.666666666666667
publisher	GMT Games	11	8.545454545454545
publisher	GMT Games	3	8.333333333333334
publisher	GMT Games	4	8.5
publisher	GMT Games	7	8
publisher	Gabinete Lúdico	4	6.25
publisher	Gabinete Lúdico	4	6.25
publisher	Gabinete Lúdico	4	6.25
publisher	Gabinete Lúdico	5	6.6
publisher	Galakta	12	7.666666666666667
publisher	Galakta	23	7.869565217391305
publisher	Galakta	28	7.928571428571429
publisher	Galakta	4	8.25
publisher	Galakta	63	7.095238095238095
publisher	Galakta	67	7.17910447761194
publisher	Galakta	80	7.2375
publisher	Galakta	84	7.178571428571429
publisher	Galápagos Jogos	30	6.433333333333334
publisher	Galápagos Jogos	30	6.433333333333334
publisher	Galápagos Jogos	40	6.425
publisher	Galápagos Jogos	45	6.5777777777777775
publisher	Galápagos Jogos	6	7.333333333333333
publisher	Galápagos Jogos	9	7.222222222222222
publisher	Game Harbor	17	6.529411764705882
publisher	Game Harbor	17	6.529411764705882
publisher	Game Harbor	19	6.684210526315789
publisher	Game Harbor	21	6.714285714285714
publisher	Game Harbor	3	8
publisher	Game Harbor	6	8
publisher	Game Harbor	8	7.875
publisher	Game Salute	3	6.666666666666667
publisher	Game Salute	3	6.666666666666667
publisher	Game Salute	3	6.666666666666667
publisher	Game Salute	3	6.666666666666667
publisher	Games Workshop Ltd.	3	5.666666666666667
publisher	Games Workshop Ltd.	3	5.666666666666667
publisher	Games Workshop Ltd.	4	6.75
publisher	Games Workshop Ltd.	4	6.75
